Sample,title,filename1,filename2
3-1-B-0-2,Station CB 3.1  Depth B m SizeFrac 0.2 μm,3-1-B-0-2_R1_ren.fastq.gz,3-1-B-0-2_R2_ren.fastq.gz
3-1-B-1-2,Station CB 3.1  Depth B m SizeFrac 1.2 μm,3-1-B-1-2_R1_ren.fastq.gz,3-1-B-1-2_R2_ren.fastq.gz
3-1-B-180,Station CB 3.1  Depth B m SizeFrac 180 μm,3-1-B-180_R1_ren.fastq.gz,3-1-B-180_R2_ren.fastq.gz
3-1-B-20,Station CB 3.1  Depth B m SizeFrac 20 μm,3-1-B-20_R1_ren.fastq.gz,3-1-B-20_R2_ren.fastq.gz
3-1-B-5,Station CB 3.1  Depth B m SizeFrac 5 μm,3-1-B-5_R1_ren.fastq.gz,3-1-B-5_R2_ren.fastq.gz
3-1-B-500,Station CB 3.1  Depth B m SizeFrac 500 μm,3-1-B-500_R1_ren.fastq.gz,3-1-B-500_R2_ren.fastq.gz
3-1-B-53,Station CB 3.1  Depth B m SizeFrac 53 μm,3-1-B-53_R1_ren.fastq.gz,3-1-B-53_R2_ren.fastq.gz
3-1-B-PCR-control-5-April,PCR Control 3-1-B-PCR-control-5-April,3-1-B-PCR-control-5-April_R1_ren.fastq.gz,3-1-B-PCR-control-5-April_R2_ren.fastq.gz
3-1-DNA-control-8-Jan,DNA Extraction Control 3-1-DNA-control-8-Jan,3-1-DNA-control-8-Jan_R1_ren.fastq.gz,3-1-DNA-control-8-Jan_R2_ren.fastq.gz
3-1-S-0-2,Station CB 3.1  Depth S m SizeFrac 0.2 μm,3-1-S-0-2_R1_ren.fastq.gz,3-1-S-0-2_R2_ren.fastq.gz
3-1-S-1-2,Station CB 3.1  Depth S m SizeFrac 1.2 μm,3-1-S-1-2_R1_ren.fastq.gz,3-1-S-1-2_R2_ren.fastq.gz
3-1-S-180,Station CB 3.1  Depth S m SizeFrac 180 μm,3-1-S-180_R1_ren.fastq.gz,3-1-S-180_R2_ren.fastq.gz
3-1-S-20,Station CB 3.1  Depth S m SizeFrac 20 μm,3-1-S-20_R1_ren.fastq.gz,3-1-S-20_R2_ren.fastq.gz
3-1-S-5,Station CB 3.1  Depth S m SizeFrac 5 μm,3-1-S-5_R1_ren.fastq.gz,3-1-S-5_R2_ren.fastq.gz
3-1-S-PCR-control-21-April,PCR Control 3-1-S-PCR-control-21-April,3-1-S-PCR-control-21-April_R1_ren.fastq.gz,3-1-S-PCR-control-21-April_R2_ren.fastq.gz
3-2-B-0-2,Station CB 3.2  Depth B m SizeFrac 0.2 μm,3-2-B-0-2_R1_ren.fastq.gz,3-2-B-0-2_R2_ren.fastq.gz
3-2-B-1-2,Station CB 3.2  Depth B m SizeFrac 1.2 μm,3-2-B-1-2_R1_ren.fastq.gz,3-2-B-1-2_R2_ren.fastq.gz
