Run,Files,ID,ReadDir,Sample,Station,Depth,Size,Type,Paths,RenFiles,RenPaths,TrimmedFiles,TrimmedPaths,FilteredFiles,FilteredPaths,DereplicatedFiles
AH,3-1-B-0-2_S13_L001_R1_001.fastq.gz,3-1-B-0-2,1,3-1-B-0-2,3.1,B,0.2,Sample,Raw_AH/3-1-B-0-2_S13_L001_R1_001.fastq.gz,3-1-B-0-2_R1_ren.fastq.gz,RenamedSamples/3-1-B-0-2_R1_ren.fastq.gz,3-1-B-0-2_R1_trim.fastq.gz,TrimmedSamples/3-1-B-0-2_R1_trim.fastq.gz,3-1-B-0-2_R1_filt.fastq.gz,FilteredSamples/3-1-B-0-2_R1_filt.fastq.gz,DereplicatedSamples/3-1-B-0-2_R1_derep.fastq.gz
AH,3-1-B-0-2_S13_L001_R2_001.fastq.gz,3-1-B-0-2,2,3-1-B-0-2,3.1,B,0.2,Sample,Raw_AH/3-1-B-0-2_S13_L001_R2_001.fastq.gz,3-1-B-0-2_R2_ren.fastq.gz,RenamedSamples/3-1-B-0-2_R2_ren.fastq.gz,3-1-B-0-2_R2_trim.fastq.gz,TrimmedSamples/3-1-B-0-2_R2_trim.fastq.gz,3-1-B-0-2_R2_filt.fastq.gz,FilteredSamples/3-1-B-0-2_R2_filt.fastq.gz,DereplicatedSamples/3-1-B-0-2_R2_derep.fastq.gz
AH,3-1-B-1-2_S12_L001_R1_001.fastq.gz,3-1-B-1-2,1,3-1-B-1-2,3.1,B,1.2,Sample,Raw_AH/3-1-B-1-2_S12_L001_R1_001.fastq.gz,3-1-B-1-2_R1_ren.fastq.gz,RenamedSamples/3-1-B-1-2_R1_ren.fastq.gz,3-1-B-1-2_R1_trim.fastq.gz,TrimmedSamples/3-1-B-1-2_R1_trim.fastq.gz,3-1-B-1-2_R1_filt.fastq.gz,FilteredSamples/3-1-B-1-2_R1_filt.fastq.gz,DereplicatedSamples/3-1-B-1-2_R1_derep.fastq.gz
AH,3-1-B-1-2_S12_L001_R2_001.fastq.gz,3-1-B-1-2,2,3-1-B-1-2,3.1,B,1.2,Sample,Raw_AH/3-1-B-1-2_S12_L001_R2_001.fastq.gz,3-1-B-1-2_R2_ren.fastq.gz,RenamedSamples/3-1-B-1-2_R2_ren.fastq.gz,3-1-B-1-2_R2_trim.fastq.gz,TrimmedSamples/3-1-B-1-2_R2_trim.fastq.gz,3-1-B-1-2_R2_filt.fastq.gz,FilteredSamples/3-1-B-1-2_R2_filt.fastq.gz,DereplicatedSamples/3-1-B-1-2_R2_derep.fastq.gz
AH,3-1-B-180_S8_L001_R1_001.fastq.gz,3-1-B-180,1,3-1-B-180,3.1,B,180,Sample,Raw_AH/3-1-B-180_S8_L001_R1_001.fastq.gz,3-1-B-180_R1_ren.fastq.gz,RenamedSamples/3-1-B-180_R1_ren.fastq.gz,3-1-B-180_R1_trim.fastq.gz,TrimmedSamples/3-1-B-180_R1_trim.fastq.gz,3-1-B-180_R1_filt.fastq.gz,FilteredSamples/3-1-B-180_R1_filt.fastq.gz,DereplicatedSamples/3-1-B-180_R1_derep.fastq.gz
AH,3-1-B-180_S8_L001_R2_001.fastq.gz,3-1-B-180,2,3-1-B-180,3.1,B,180,Sample,Raw_AH/3-1-B-180_S8_L001_R2_001.fastq.gz,3-1-B-180_R2_ren.fastq.gz,RenamedSamples/3-1-B-180_R2_ren.fastq.gz,3-1-B-180_R2_trim.fastq.gz,TrimmedSamples/3-1-B-180_R2_trim.fastq.gz,3-1-B-180_R2_filt.fastq.gz,FilteredSamples/3-1-B-180_R2_filt.fastq.gz,DereplicatedSamples/3-1-B-180_R2_derep.fastq.gz
AH,3-1-B-20_S10_L001_R1_001.fastq.gz,3-1-B-20,1,3-1-B-20,3.1,B,20,Sample,Raw_AH/3-1-B-20_S10_L001_R1_001.fastq.gz,3-1-B-20_R1_ren.fastq.gz,RenamedSamples/3-1-B-20_R1_ren.fastq.gz,3-1-B-20_R1_trim.fastq.gz,TrimmedSamples/3-1-B-20_R1_trim.fastq.gz,3-1-B-20_R1_filt.fastq.gz,FilteredSamples/3-1-B-20_R1_filt.fastq.gz,DereplicatedSamples/3-1-B-20_R1_derep.fastq.gz
AH,3-1-B-20_S10_L001_R2_001.fastq.gz,3-1-B-20,2,3-1-B-20,3.1,B,20,Sample,Raw_AH/3-1-B-20_S10_L001_R2_001.fastq.gz,3-1-B-20_R2_ren.fastq.gz,RenamedSamples/3-1-B-20_R2_ren.fastq.gz,3-1-B-20_R2_trim.fastq.gz,TrimmedSamples/3-1-B-20_R2_trim.fastq.gz,3-1-B-20_R2_filt.fastq.gz,FilteredSamples/3-1-B-20_R2_filt.fastq.gz,DereplicatedSamples/3-1-B-20_R2_derep.fastq.gz
AH,3-1-B-5_S11_L001_R1_001.fastq.gz,3-1-B-5,1,3-1-B-5,3.1,B,5,Sample,Raw_AH/3-1-B-5_S11_L001_R1_001.fastq.gz,3-1-B-5_R1_ren.fastq.gz,RenamedSamples/3-1-B-5_R1_ren.fastq.gz,3-1-B-5_R1_trim.fastq.gz,TrimmedSamples/3-1-B-5_R1_trim.fastq.gz,3-1-B-5_R1_filt.fastq.gz,FilteredSamples/3-1-B-5_R1_filt.fastq.gz,DereplicatedSamples/3-1-B-5_R1_derep.fastq.gz
AH,3-1-B-5_S11_L001_R2_001.fastq.gz,3-1-B-5,2,3-1-B-5,3.1,B,5,Sample,Raw_AH/3-1-B-5_S11_L001_R2_001.fastq.gz,3-1-B-5_R2_ren.fastq.gz,RenamedSamples/3-1-B-5_R2_ren.fastq.gz,3-1-B-5_R2_trim.fastq.gz,TrimmedSamples/3-1-B-5_R2_trim.fastq.gz,3-1-B-5_R2_filt.fastq.gz,FilteredSamples/3-1-B-5_R2_filt.fastq.gz,DereplicatedSamples/3-1-B-5_R2_derep.fastq.gz
