Station,name,BetterName,Zone,value,Depth
3.1,Temperature,Temperature~(degree*C),Bottom,28.674955555555556,7
3.1,Temperature,Temperature~(degree*C),Surface,28.887097959183674,3
3.1,Salinity,Salinity~(PSU),Bottom,2.5955644444444443,7
3.1,Salinity,Salinity~(PSU),Surface,1.3094204081632652,3
3.1,Oxygen,Oxygen~(mg/L),Bottom,4.307257777777778,7
3.1,Oxygen,Oxygen~(mg/L),Surface,3.9045489795918367,3
3.1,Fluorescence,Fluorescence~(mg/m^3),Bottom,1.9354066666666667,7
3.1,Fluorescence,Fluorescence~(mg/m^3),Surface,1.9880367346938776,3
3.1,PAR,PAR~(mu*mol/m^2/s),Bottom,0.028459955555555555,7
3.1,PAR,PAR~(mu*mol/m^2/s),Surface,8.566644897959184,3
3.1,pH,pH,Bottom,7.657844444444445,7
3.1,pH,pH,Surface,7.918183673469388,3
3.2,Temperature,Temperature~(degree*C),Bottom,27.516167391304347,7
3.2,Temperature,Temperature~(degree*C),Surface,28.214134782608696,3
3.2,Salinity,Salinity~(PSU),Bottom,7.895728260869565,7
3.2,Salinity,Salinity~(PSU),Surface,5.391554347826087,3
3.2,Oxygen,Oxygen~(mg/L),Bottom,1.3404673913043479,7
3.2,Oxygen,Oxygen~(mg/L),Surface,4.237889130434783,3
3.2,Fluorescence,Fluorescence~(mg/m^3),Bottom,1.6939456521739131,7
3.2,Fluorescence,Fluorescence~(mg/m^3),Surface,2.4661369565217393,3
3.2,PAR,PAR~(mu*mol/m^2/s),Bottom,0.01273586956521739,7
3.2,PAR,PAR~(mu*mol/m^2/s),Surface,3.9392271739130433,3
3.2,pH,pH,Bottom,7.6725,7
3.2,pH,pH,Surface,7.917869565217392,3
3.3,Temperature,Temperature~(degree*C),Bottom,28.91929347826087,7
3.3,Temperature,Temperature~(degree*C),Surface,29.041323529411766,3
3.3,Salinity,Salinity~(PSU),Bottom,6.767269565217391,7
3.3,Salinity,Salinity~(PSU),Surface,5.5194431372549015,3
3.3,Oxygen,Oxygen~(mg/L),Bottom,4.837482608695653,7
3.3,Oxygen,Oxygen~(mg/L),Surface,6.8094078431372544,3
3.3,Fluorescence,Fluorescence~(mg/m^3),Bottom,3.0308065217391307,7
3.3,Fluorescence,Fluorescence~(mg/m^3),Surface,5.669545098039215,3
3.3,PAR,PAR~(mu*mol/m^2/s),Bottom,0.012599173913043478,7
3.3,PAR,PAR~(mu*mol/m^2/s),Surface,0.4378559607843137,3
3.3,pH,pH,Bottom,8.394434782608696,7
3.3,pH,pH,Surface,8.634607843137255,3
4.3,Temperature,Temperature~(degree*C),Bottom,23.40519340659341,19
4.3,Temperature,Temperature~(degree*C),OMZ,28.26795652173913,6
4.3,Temperature,Temperature~(degree*C),Surface,29.551671111111112,3
4.3,Salinity,Salinity~(PSU),Bottom,19.68129010989011,19
4.3,Salinity,Salinity~(PSU),OMZ,10.414397826086956,6
4.3,Salinity,Salinity~(PSU),Surface,9.220331111111111,3
4.3,Oxygen,Oxygen~(mg/L),Bottom,0.03736043956043956,19
4.3,Oxygen,Oxygen~(mg/L),OMZ,2.7837239130434783,6
4.3,Oxygen,Oxygen~(mg/L),Surface,6.435515555555556,3
4.3,Fluorescence,Fluorescence~(mg/m^3),Bottom,0.5182604395604395,19
4.3,Fluorescence,Fluorescence~(mg/m^3),OMZ,1.8233369565217392,6
4.3,Fluorescence,Fluorescence~(mg/m^3),Surface,2.576871111111111,3
4.3,PAR,PAR~(mu*mol/m^2/s),Bottom,0.012602560439560439,19
4.3,PAR,PAR~(mu*mol/m^2/s),OMZ,0.483895,6
4.3,PAR,PAR~(mu*mol/m^2/s),Surface,5.496935555555556,3
4.3,pH,pH,Bottom,7.612549450549451,19
4.3,pH,pH,OMZ,8.459,6
4.3,pH,pH,Surface,8.72391111111111,3
5.1,Temperature,Temperature~(degree*C),Bottom,23.442383333333332,32.5
5.1,Temperature,Temperature~(degree*C),Surface,29.453545833333333,7
5.1,Salinity,Salinity~(PSU),Bottom,20.454066666666666,32.5
5.1,Salinity,Salinity~(PSU),Surface,10.711570833333333,7
5.1,Oxygen,Oxygen~(mg/L),Bottom,0.031516666666666665,32.5
5.1,Oxygen,Oxygen~(mg/L),Surface,5.682822916666667,7
5.1,Fluorescence,Fluorescence~(mg/m^3),Bottom,0.5269666666666667,32.5
5.1,Fluorescence,Fluorescence~(mg/m^3),Surface,2.7735833333333333,7
5.1,PAR,PAR~(mu*mol/m^2/s),Bottom,0.012570833333333333,32.5
5.1,PAR,PAR~(mu*mol/m^2/s),Surface,0.6010885416666667,7
5.1,pH,pH,Bottom,7.581166666666666,32.5
5.1,pH,pH,Surface,8.7154375,7
5.5,Temperature,Temperature~(degree*C),Bottom,25.58955909090909,13
5.5,Temperature,Temperature~(degree*C),Surface,30.08593181818182,3
5.5,Salinity,Salinity~(PSU),Bottom,20.04574318181818,13
5.5,Salinity,Salinity~(PSU),Surface,12.544125,3
5.5,Oxygen,Oxygen~(mg/L),Bottom,0.2738340909090909,13
5.5,Oxygen,Oxygen~(mg/L),Surface,7.858227272727273,3
5.5,Fluorescence,Fluorescence~(mg/m^3),Bottom,0.6455318181818182,13
5.5,Fluorescence,Fluorescence~(mg/m^3),Surface,2.476106818181818,3
5.5,PAR,PAR~(mu*mol/m^2/s),Bottom,0.02345915909090909,13
5.5,PAR,PAR~(mu*mol/m^2/s),Surface,2.3691750000000003,3
5.5,pH,pH,Bottom,7.780181818181818,13
5.5,pH,pH,Surface,8.813386363636363,3
